CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj,,,
2.02003E+13,MDG-b_15_n500_m50,8,507.687s,500,50,1583944730,1500,10,51,1064.81,,,
2.02003E+13,MDG-b_15_n500_m50,9,501.95s,500,50,1583960201,1500,10,53,1093.46,,,
2.02003E+13,MDG-b_16_n500_m50,0,501.795s,500,50,1583955559,1500,10,52,1153.94,,,
2.02003E+13,MDG-b_16_n500_m50,1,502.867s,500,50,1583955553,1500,10,56,1012.95,,,
2.02003E+13,MDG-b_16_n500_m50,2,502.378s,500,50,1583960935,1500,10,56,1039.27,,,
2.02003E+13,MDG-b_16_n500_m50,3,503.111s,500,50,1583966472,1500,10,56,1089.08,,,
2.02003E+13,MDG-b_16_n500_m50,4,503.817s,500,50,1583951354,1500,10,58,1131.7,,,
2.02003E+13,MDG-b_16_n500_m50,5,504.709s,500,50,1583956295,1500,10,53,1090.18,,,
2.02003E+13,MDG-b_16_n500_m50,6,500.78s,500,50,1583970337,1500,10,54,1084.69,,,
2.02003E+13,MDG-b_16_n500_m50,7,504.254s,500,50,1583940543,1500,10,52,1121.19,,,
2.02003E+13,MDG-b_16_n500_m50,8,512.567s,500,50,1583960102,1500,10,54,1134.49,,,
2.02003E+13,MDG-b_16_n500_m50,9,503.002s,500,50,1583950336,1500,10,54,1152.44,,,
2.02003E+13,MDG-b_17_n500_m50,0,501.457s,500,50,1583964294,1500,10,57,1127.48,,,
2.02003E+13,MDG-b_17_n500_m50,1,506.032s,500,50,1583969907,1500,10,54,1077.18,,,
2.02003E+13,MDG-b_17_n500_m50,2,506.569s,500,50,1583944527,1500,10,55,1112.36,,,
2.02003E+13,MDG-b_17_n500_m50,3,500.117s,500,50,1583952295,1500,10,56,1134.84,,,
2.02003E+13,MDG-b_17_n500_m50,4,508.363s,500,50,1583974528,1500,10,50,1120.93,,,
2.02003E+13,MDG-b_17_n500_m50,5,502.922s,500,50,1583950119,1500,10,54,1062.86,,,
2.02003E+13,MDG-b_17_n500_m50,6,513.079s,500,50,1583961548,1500,10,51,1128.21,,,
2.02003E+13,MDG-b_17_n500_m50,7,506.725s,500,50,1583966087,1500,10,55,1069.63,,,
2.02003E+13,MDG-b_17_n500_m50,8,500.202s,500,50,1583961210,1500,10,56,1119.04,,,
2.02003E+13,MDG-b_17_n500_m50,9,508.744s,500,50,1583950071,1500,10,54,1126.5,,,
2.02003E+13,MDG-b_18_n500_m50,0,505.802s,500,50,1583965414,1500,10,56,1113.39,,,
2.02003E+13,MDG-b_18_n500_m50,1,505.347s,500,50,1583959334,1500,10,54,1082.46,,,
2.02003E+13,MDG-b_18_n500_m50,2,505.94s,500,50,1583955395,1500,10,55,1063.03,,,
2.02003E+13,MDG-b_18_n500_m50,3,506.354s,500,50,1583975115,1500,10,55,1104.96,,,
2.02003E+13,MDG-b_18_n500_m50,4,508.727s,500,50,1583949563,1500,10,55,1123.67,,,
2.02003E+13,MDG-b_18_n500_m50,5,505.059s,500,50,1583976136,1500,10,53,1143.65,,,
2.02003E+13,MDG-b_18_n500_m50,6,501.263s,500,50,1583971218,1500,10,54,1100.02,,,
